Segment,Product,Brand,Gender,Age,Order type,,,,,,,,,,,,,,,,,
office,subs,Subway,female,27,Multiple order combinations,,42,Office,,,,,,,,,,,,,,
home,Pizzas,Papa Jones,female,52,Multiple order combinations,,54,home,,,,,,,,,,,,,,
student,Pizzas,Pizzahut,female,18,Single order,,54,student,,,,,,,,,,,,,,
student,subs,Others,female,24,Single order,,150,,,,,,,,,,,,,,,
home,burgers,Burger K,female,63,Single order,,Code,,,,,,,,,,,,,,,
office,Pizzas,Pizzahut,female,42,Single order,,Multiple order combinations,,,2,,,,,,,,,,,,
home,burgers,Burger K,male,61,Single order,,Single order,,,1,,,,,,,,,,,,
home,subs,Others,male,19,Single order,,,,,,,,,,,,,,,,,
student,Pizzas,Pizzahut,female,18,Multiple order combinations,,,Ignore age of the customer,,,,,,,,,,,,,,
office,subs,Subway,female,25,Single order,,,,,,,,,,,,,,,,,
home,burgers,Burger K,male,56,Single order,,,,,,,,,,,,,,,,,
home,Pizzas,Pizzahut,female,18,Single order,,,,,,,,,,,,,,,,,
home,Pizzas,Dominos,female,38,Multiple order combinations,,,,Brand Sales to group,,,7,,Brand Sales to group,,,5,,Brand Sales to group,,,8
home,Pizzas,Dominos,male,31,Multiple order combinations,,,,Households in group,,,42,,Households in group,,,42,,Households in group,,,42
student,burgers,Burger K,male,22,Multiple order combinations,,,,Total brand sales,,,18,,Total brand sales,,,17,,Total brand sales,,,24
office,subs,Others,female,46,Single order,,,,total households,,,150,,total households,,,150,,total households,,,150
student,subs,Subway,female,24,Multiple order combinations,,,,,,,,,,,,,,,,,
office,burgers,Mac Donalds,male,47,Single order,,,,BDI for Subway,,1.388888889,,,BDI for Pizzahut,,,1.050420168,,BDI for Pizzahut,,,1.19047619
office,subs,Subway,female,49,Multiple order combinations,,,,,,,,,,,,,,,,,
student,subs,Subway,female,18,Multiple order combinations,,,,,,,,,,,,,,,,,
home,Pizzas,Dominos,female,29,Single order,,,,Brand Sales to group,,,4,,,,,,,,,,
student,subs,Others,male,23,Multiple order combinations,,,,Households in group,,,42,,,,,,,,,,
office,Pizzas,Dominos,female,48,Single order,,,,Total brand sales,,,26,,,,,,,,,,
student,subs,Subway,female,20,Single order,,,,total households,,,150,,,,,,,,,,
home,Pizzas,Papa Jones,male,34,Multiple order combinations,,,,BDI for Subway,,,0.549450549,,,,,,,,,,
office,Pizzas,Dominos,female,29,Multiple order combinations,,,,,,,,,,,,,,,,,
home,burgers,Mac Donalds,male,29,Single order,,,,,,,,,,,,,,,,,
office,Pizzas,Papa Jones,female,29,Single order,,,,,,,,,,,,,,,,,
home,subs,Subway,male,35,Multiple order combinations,,,,,,,,,,,,,,,,,
office,burgers,Mac Donalds,male,32,Multiple order combinations,,,,,,,,,,,,,,,,,
home,burgers,Mac Donalds,male,14,Multiple order combinations,,,,,,,,,,,,,,,,,
student,Pizzas,Dominos,female,19,Multiple order combinations,,,,,,,,,,,,,,,,,
student,subs,Others,female,18,Multiple order combinations,,,,,,,,,,,,,,,,,
office,subs,Others,male,49,Multiple order combinations,,,,,,,,,,,,,,,,,
home,burgers,Burger K,male,19,Multiple order combinations,,,,,,,,,,,,,,,,,
office,burgers,Burger K,male,54,Single order,,,,,,,,,,,,,,,,,
student,Pizzas,Pizzahut,male,22,Single order,,,,,,,,,,,,,,,,,
office,subs,Others,female,36,Multiple order combinations,,,,,,,,,,,,,,,,,
office,Pizzas,Dominos,female,50,Single order,,,,,,,,,,,,,,,,,
home,subs,Others,male,18,Single order,,,,,,,,,,,,,,,,,
student,Pizzas,Pizzahut,male,19,Multiple order combinations,,,,,,,,,,,,,,,,,
home,Pizzas,Dominos,female,19,Multiple order combinations,,,,,,,,,,,,,,,,,
home,burgers,Burger K,female,58,Multiple order combinations,,,,,,,,,,,,,,,,,
home,Pizzas,Dominos,male,50,Single order,,,,,,,,,,,,,,,,,
office,Pizzas,Dominos,female,43,Single order,,,,,,,,,,,,,,,,,
